Kategori,Judul,Tahun,Batas Umur,Durasi,Genre,URL
Bollywood Movies,Zee Bioskop - Raazi (V8),,,,,https://www.visionplus.id/channel/26497/zee-bioskop-raazi-v8
Bollywood Movies,Zee Bioskop - Isi Life Mein...! (V8),,,,,https://www.visionplus.id/channel/26479/zee-bioskop-isi-life-mein-v8
Bollywood Movies,Zee Bioskop - Ankur Arora Murder Case (V8),,,,,https://www.visionplus.id/channel/25210/zee-bioskop-ankur-arora-murder-case-v8
Bollywood Movies,Zee Bioskop - Mard Ko Dard Nahi Hota (V8),,,,,https://www.visionplus.id/channel/25264/zee-bioskop-mard-ko-dard-nahi-hota-v8
Bollywood Movies,Zee Bioskop - Namaste England (V8),,,,,https://www.visionplus.id/channel/26515/zee-bioskop-namaste-england-v8
Bollywood Movies,Zee Bioskop - Yaadein (V8),,,,,https://www.visionplus.id/channel/26443/zee-bioskop-yaadein-v8
Bollywood Movies,Zee Bioskop - Sanak (V8),,,,,https://www.visionplus.id/channel/26506/zee-bioskop-sanak-v8
Bollywood Movies,Zee Bioskop - Sarfarosh (V8),,,,,https://www.visionplus.id/channel/26470/zee-bioskop-sarfarosh-v8
Bollywood Movies,Zee Bioskop - Army (V8),,,,,https://www.visionplus.id/channel/25156/zee-bioskop-army-v8
Bollywood Movies,Zee Bioskop - Rock On! 2 (V8),,,,,https://www.visionplus.id/channel/25183/zee-bioskop-rock-on-2-v8
,Cintapuccino,2007,D,107 Menit,Drama,https://www.visionplus.id/movies/357/cintapuccino
,Hari Untuk Amanda,2010,SU,102 Menit,Drama,https://www.visionplus.id/movies/285/hari-untuk-amanda
,Air Mata Surga,2015,D,116 Menit,Drama,https://www.visionplus.id/movies/19209/air-mata-surga
,Nikah Pada Pandangan Pertama,2015,D,80 Menit,Drama,https://www.visionplus.id/movies/1383/nikah-pada-pandangan-pertama
,Istriku Ngidam Ayu Ting-Ting,2015,D,60 Menit,Drama,https://www.visionplus.id/movies/17269/istriku-ngidam-ayu-ting-ting
,Menikah Untuk Ibu,2015,BO-SU,60 Menit,Drama,https://www.visionplus.id/movies/33544/menikah-untuk-ibu
,Wonderful Nightmare,2015,R,120 Menit,Comedy,https://www.visionplus.id/movies/41966/wonderful-nightmare
,Mars Met Venus (Part Cowo),2017,R,95 Menit,Drama,https://www.visionplus.id/movies/1354/mars-met-venus-part-cowo
,Mars met Venus (Part Cewek),2017,R,98 Menit,Comedy,https://www.visionplus.id/movies/1357/mars-met-venus-part-cewek
,Be with You,2018,D,120 Menit,Romance,https://www.visionplus.id/movies/52844/be-with-you
,Si Doel Anak Pinggiran,2011,R,90 Menit,Drama,https://www.visionplus.id/movies/38276/si-doel-anak-pinggiran
,7 Hari 24 Jam,2014,R,110 Menit,Drama,https://www.visionplus.id/movies/420/7-hari-24-jam
,Yakin Mau Nikah ?,2014,D,78 Menit,Drama,https://www.visionplus.id/movies/518/yakin-mau-nikah
,Maaf Saya Menghamili Istri Anda,2007,D,90 Menit,Drama,https://www.visionplus.id/movies/415/maaf-saya-menghamili-istri-anda
,Asmara Dua Diana,2009,D,100 Menit,Comedy,https://www.visionplus.id/movies/238/asmara-dua-diana
,Kata Maaf Terakhir,2009,D,148 Menit,Drama,https://www.visionplus.id/movies/601/kata-maaf-terakhir
,Bulan Madu,2015,D,60 Menit,Drama,https://www.visionplus.id/movies/32240/bulan-madu
,Puber Kedua Suami Ketiga,2015,D,60 Menit,Drama,https://www.visionplus.id/movies/33850/puber-kedua-suami-ketiga
,Cinta Palsu Sang Suami,2017,D,60 Menit,Drama,https://www.visionplus.id/movies/32357/cinta-palsu-sang-suami
,3 Dara 2,2018,R,90 Menit,Comedy,https://www.visionplus.id/movies/6977/3-dara-2
,Teropong Cinta Untuk Indah,2011,R,75 Menit,Drama,https://www.visionplus.id/movies/1542/teropong-cinta-untuk-indah
,Tuan Narsis Over Dosis,2013,R,82 Menit,Drama,https://www.visionplus.id/movies/520/tuan-narsis-over-dosis
,Ubi Habis Cintapun Datang,2013,R,77 Menit,Drama,https://www.visionplus.id/movies/482/ubi-habis-cintapun-datang
,Mama Dedeh VS Papa Dadah,2014,R,76 Menit,Drama,https://www.visionplus.id/movies/537/mama-dedeh-vs-papa-dadah
,Me VS Mami 3,2014,R,78 Menit,Drama,https://www.visionplus.id/movies/543/me-vs-mami-3
,Istriku Ngidam Ayu Ting-Ting,2015,D,60 Menit,Drama,https://www.visionplus.id/movies/17269/istriku-ngidam-ayu-ting-ting
,Mr. Miki & Miss Mini ,2015,R,78 Menit,Drama,https://www.visionplus.id/movies/1537/mr-miki-miss-mini
,(Masih) Me VS Mami,2015,D,60 Menit,Drama,https://www.visionplus.id/movies/17317/masih-me-vs-mami
,Cinta Tanpa Pamrih,2015,D,60 Menit,Drama,https://www.visionplus.id/movies/17265/cinta-tanpa-pamrih
,Superstar Ndeso,2016,R,60 Menit,Drama,https://www.visionplus.id/movies/29179/superstar-ndeso
,Rama Untuk Shinta,2018,R,60 Menit,Drama,https://www.visionplus.id/movies/33904/rama-untuk-shinta
,Brownies,2004,D,108 Menit,Drama,https://www.visionplus.id/movies/407/brownies
,Mengejar Matahari,2004,D,117 Menit,Drama,https://www.visionplus.id/movies/254/mengejar-matahari
,Vina Bilang Cinta,2005,D,93 Menit,Drama,https://www.visionplus.id/movies/616/vina-bilang-cinta
,Tentang Dia,2005,D,116 Menit,Drama,https://www.visionplus.id/movies/605/tentang-dia
,Ungu Violet,2005,D,96 Menit,Drama,https://www.visionplus.id/movies/423/ungu-violet
,Jomblo,2006,R,116 Menit,Comedy,https://www.visionplus.id/movies/257/jomblo
,Mendadak Dangdut,2006,D,93 Menit,Comedy,https://www.visionplus.id/movies/181/mendadak-dangdut
,Cintapuccino,2007,D,107 Menit,Drama,https://www.visionplus.id/movies/357/cintapuccino
,Maaf Saya Menghamili Istri Anda,2007,D,90 Menit,Drama,https://www.visionplus.id/movies/415/maaf-saya-menghamili-istri-anda
,Saus Kacang,2008,D,108 Menit,Drama,https://www.visionplus.id/movies/347/saus-kacang
,Oh My God,2008,D,115 Menit,Drama,https://www.visionplus.id/movies/1366/oh-my-god
,Doa Yang Mengancam,2008,D,115 Menit,Drama,https://www.visionplus.id/movies/411/doa-yang-mengancam
,Puber,2008,D,89 Menit,Drama,https://www.visionplus.id/movies/19281/puber
,Kata Maaf Terakhir,2009,D,148 Menit,Drama,https://www.visionplus.id/movies/601/kata-maaf-terakhir
,Kalau Cinta Jangan Cengeng,2009,R,120 Menit,Drama,https://www.visionplus.id/movies/343/kalau-cinta-jangan-cengeng
,Asmara Dua Diana,2009,D,100 Menit,Comedy,https://www.visionplus.id/movies/238/asmara-dua-diana
,Hari Untuk Amanda,2010,SU,102 Menit,Drama,https://www.visionplus.id/movies/285/hari-untuk-amanda
,My Blackberry Girlfriend,2011,D,83 Menit,Drama,https://www.visionplus.id/movies/19229/my-blackberry-girlfriend
,Masih Bukan Cinta Biasa,2011,R,90 Menit,Drama,https://www.visionplus.id/movies/603/masih-bukan-cinta-biasa
,Rumah Tanpa Jendela,2011,SU,102 Menit,Drama,https://www.visionplus.id/movies/178/rumah-tanpa-jendela
,Ada Cewek Cantik Banget di Truk Sampah,2014,D,60 Menit,Drama,https://www.visionplus.id/movies/17193/ada-cewek-cantik-banget-di-truk-sampah
,Angkotku Berhenti Di Kamu,2018,D,90 Menit,Drama,https://www.visionplus.id/movies/20305/angkotku-berhenti-di-kamu
,Bukan Cinta Isi Ulang,2020,R,60 Menit,Drama,https://www.visionplus.id/movies/32213/bukan-cinta-isi-ulang
,Calo Cinta,2015,D,74 Menit,Drama,https://www.visionplus.id/movies/28613/calo-cinta
,Cantik-Cantik Koq Tukang Sedot Tinja,2015,D,60 Menit,Drama,https://www.visionplus.id/movies/17221/cantik-cantik-koq-tukang-sedot-tinja
,Cinta Laundry Kiloan,2016,D,60 Menit,Drama,https://www.visionplus.id/movies/17257/cinta-laundry-kiloan
,Cinta Pengamen Badut,2014,R,80 Menit,Drama,https://www.visionplus.id/movies/200/cinta-pengamen-badut
,Cintaku Ditangan Hansip,2015,R,78 Menit,Drama,https://www.visionplus.id/movies/579/cintaku-ditangan-hansip
,Cintaku Mampir Di Kursus Nyetir,2013,R,80 Menit,Drama,https://www.visionplus.id/movies/256/cintaku-mampir-di-kursus-nyetir
,Dari Panci Turun Ke Hati,2013,R,79 Menit,Drama,https://www.visionplus.id/movies/444/dari-panci-turun-ke-hati
,I Love You OB,2019,D,60 Menit,Drama,https://www.visionplus.id/movies/20185/i-love-you-ob
,Insom Cinta Ronda,2014,R,80 Menit,Drama,https://www.visionplus.id/movies/1397/insom-cinta-ronda
,Ku Derek Cintamu Ke Pelaminan,2012,R,60 Menit,Drama,https://www.visionplus.id/movies/33373/ku-derek-cintamu-ke-pelaminan
,Kutunggu Kau di Salon Cinta,2021,R,60 Menit,Drama,https://www.visionplus.id/movies/38811/kutunggu-kau-di-salon-cinta
,My Poppy is Tukang Roti,2015,R,78 Menit,Comedy,https://www.visionplus.id/movies/1373/my-poppy-is-tukang-roti
,Nano Si Nanny,2015,R,60 Menit,Drama,https://www.visionplus.id/movies/38961/nano-si-nanny
,Ngojek Demi Cinta,2015,R,80 Menit,Drama,https://www.visionplus.id/movies/1405/ngojek-demi-cinta
,Pacarin Camat,2021,R,60 Menit,Drama,https://www.visionplus.id/movies/38230/pacarin-camat
,Pelatih Yoga Tebar Cinta,2015,R,60 Menit,Drama,https://www.visionplus.id/movies/33733/pelatih-yoga-tebar-cinta
,Pemadam Api Cinta,2018,D,60 Menit,Drama,https://www.visionplus.id/movies/33742/pemadam-api-cinta
,Cara-cara Menikmati Kopi,2015,R,5 Menit,Comedy,https://www.visionplus.id/movies/54597/cara-cara-menikmati-kopi
,Bos Jaman Now,2016,R,5 Menit,Comedy,https://www.visionplus.id/movies/55022/bos-jaman-now
,Ciri-ciri Cowok Ramah vs Cowok Ganjen,2015,R,5 Menit,Comedy,https://www.visionplus.id/movies/55058/ciri-ciri-cowok-ramah-vs-cowok-ganjen
,Bisa Kok Mie Ayam Gak Pake Ayam,2019,R,5 Menit,Comedy,https://www.visionplus.id/movies/55015/bisa-kok-mie-ayam-gak-pake-ayam
,Kelakukan Orang Saat Tagihan Datang,2017,R,5 Menit,Comedy,https://www.visionplus.id/movies/55111/kelakukan-orang-saat-tagihan-datang
,Batak Bangett Mamak Anti Narkoba,2019,R,5 Menit,Comedy,https://www.visionplus.id/movies/55013/batak-bangett-mamak-anti-narkoba
,Ayank Beb Narik Ojek,2019,R,5 Menit,Comedy,https://www.visionplus.id/movies/55007/ayank-beb-narik-ojek
,Alasan Jadi Ojek Online,2019,R,5 Menit,Comedy,https://www.visionplus.id/movies/55000/alasan-jadi-ojek-online
,Kelakuan Orang Puasa,2017,R,5 Menit,Comedy,https://www.visionplus.id/movies/55110/kelakuan-orang-puasa
,5 Level Karantina/Lockdown/PSBB,2020,R,5 Menit,Comedy,https://www.visionplus.id/movies/54975/5-level-karantina-lockdown-psbb
,Suami Kaya,2015,R,5 Menit,Comedy,https://www.visionplus.id/movies/54622/suami-kaya
,Saat yang Salah untuk Minum Kopi,2015,R,5 Menit,Comedy,https://www.visionplus.id/movies/54621/saat-yang-salah-untuk-minum-kopi
,Mahasiswa Jaman Now vs Tempo Doeloe,2018,R,5 Menit,Comedy,https://www.visionplus.id/movies/55120/mahasiswa-jaman-now-vs-tempo-doeloe
,Hollywood vs Bollywood Part.1,2016,R,5 Menit,Comedy,https://www.visionplus.id/movies/54615/hollywood-vs-bollywood-part-1
,Hollywood vs Bollywood Part.2,2016,R,5 Menit,Comedy,https://www.visionplus.id/movies/54620/hollywood-vs-bollywood-part-2
,Fotokopi,2015,R,5 Menit,Comedy,https://www.visionplus.id/movies/54608/fotokopi
,(Bukan) Preman Terkuat,2018,R,5 Menit,Comedy,https://www.visionplus.id/movies/55054/bukan-preman-terkuat
,Ceritanya Puasa,2015,R,5 Menit,Comedy,https://www.visionplus.id/movies/54605/ceritanya-puasa
,10 Alasan Terlambat,2015,R,5 Menit,Comedy,https://www.visionplus.id/movies/54590/10-alasan-terlambat
,7 Alasan Minum Kopi,2015,R,5 Menit,Comedy,https://www.visionplus.id/movies/54584/7-alasan-minum-kopi
,Kisah Menemukan Paling Mengharukan,2022,R,5 Menit,Drama,https://www.visionplus.id/movies/54143/kisah-menemukan-paling-mengharukan
,Hipnotis,2016,BO-SU,10 Menit,Comedy,https://www.visionplus.id/movies/54100/hipnotis
,Koin Penyok,2017,BO-SU,5 Menit,Drama,https://www.visionplus.id/movies/54108/koin-penyok
,Bumi Datar atau Bumi Bulat,2018,R,5 Menit,Comedy,https://www.visionplus.id/movies/54109/bumi-datar-atau-bumi-bulat
,Bakoel Kosong,2022,R,10 Menit,Drama,https://www.visionplus.id/movies/54119/bakoel-kosong
,Jakarta Lockdown,2020,R,5 Menit,Comedy,https://www.visionplus.id/movies/54125/jakarta-lockdown
,Mempersiapkan Kemerdekaan,2020,BO-SU,15 Menit,Drama,https://www.visionplus.id/movies/54128/mempersiapkan-kemerdekaan
,Family Man,2021,BO-SU,5 Menit,Drama,https://www.visionplus.id/movies/54133/family-man
,Whisper Challenge The Movie,2021,D,5 Menit,Horror,https://www.visionplus.id/movies/54138/whisper-challenge-the-movie
,Valentine According to Cameo,2015,R,5 Menit,Drama,https://www.visionplus.id/movies/54092/valentine-according-to-cameo
,Short FTV - Tante Sonya,2014,R,10 Menit,Drama,https://www.visionplus.id/movies/47473/short-ftv-tante-sonya
,Short FTV - Cintaku Semanis Pancake Durian,2016,R,15 Menit,Drama,https://www.visionplus.id/movies/47431/short-ftv-cintaku-semanis-pancake-durian
,Short FTV - Hey Aku Love Kamu,2016,R,12 Menit,Drama,https://www.visionplus.id/movies/47436/short-ftv-hey-aku-love-kamu
,Short FTV - Insom Cinta Ronda,2014,R,15 Menit,Drama,https://www.visionplus.id/movies/47444/short-ftv-insom-cinta-ronda
,"Short FTV - 14 Hari, Anak Band Atau Pak Guru ?",2015,R,15 Menit,Drama,https://www.visionplus.id/movies/47450/short-ftv-14-hari-anak-band-atau-pak-guru
,Short FTV - Cinta Not for Sale,2013,R,20 Menit,Drama,https://www.visionplus.id/movies/47454/short-ftv-cinta-not-for-sale
,Short FTV - Nikah Pada Pandangan Pertama,2015,R,15 Menit,Drama,https://www.visionplus.id/movies/47457/short-ftv-nikah-pada-pandangan-pertama
,Short FTV - Pacarin Camat,2015,R,15 Menit,Drama,https://www.visionplus.id/movies/47463/short-ftv-pacarin-camat
,Short FTV - Sule KKN di Desa Penyanyi,2021,R,15 Menit,Comedy,https://www.visionplus.id/movies/47471/short-ftv-sule-kkn-di-desa-penyanyi
,Short FTV - Asisten Cantik Naik Pangkat,2015,R,15 Menit,Drama,https://www.visionplus.id/movies/47428/short-ftv-asisten-cantik-naik-pangkat
,Air Mata Surga,2015,D,116 Menit,Drama,https://www.visionplus.id/movies/19209/air-mata-surga
,Batas,2011,D,115 Menit,Drama,https://www.visionplus.id/movies/19217/batas
,Jendral Kancil,2012,BO,83 Menit,Drama,https://www.visionplus.id/movies/18397/jendral-kancil
,Saus Kacang,2008,D,108 Menit,Drama,https://www.visionplus.id/movies/347/saus-kacang
,1 Cinta di Bira,2016,D,83 Menit,Drama,https://www.visionplus.id/movies/284/1-cinta-di-bira
,Surat Cinta untuk Kartini,2016,D,118 Menit,Drama,https://www.visionplus.id/movies/166/surat-cinta-untuk-kartini
,Ketika Cinta Bertasbih,2009,D,81 Menit,Drama,https://www.visionplus.id/movies/607/ketika-cinta-bertasbih
,Ketika Cinta Bertasbih 2,2009,D,101 Menit,Drama,https://www.visionplus.id/movies/602/ketika-cinta-bertasbih-2
,Doa Yang Mengancam,2008,D,115 Menit,Drama,https://www.visionplus.id/movies/411/doa-yang-mengancam
,Sambal Cinta Bang Samson,2015,R,60 Menit,Drama,https://www.visionplus.id/movies/31924/sambal-cinta-bang-samson
,InsyaAllah Jodoh,2017,R,60 Menit,Drama,https://www.visionplus.id/movies/32681/insyaallah-jodoh
,Sebakul Cinta Gadis Bekatul,2018,R,60 Menit,Drama,https://www.visionplus.id/movies/31897/sebakul-cinta-gadis-bekatul
,Cintaku Nyangkut Di Pelabuhan Ratu,2018,R,60 Menit,Drama,https://www.visionplus.id/movies/32312/cintaku-nyangkut-di-pelabuhan-ratu
,Cintaku Sebulat Tahu,2018,R,60 Menit,Drama,https://www.visionplus.id/movies/32321/cintaku-sebulat-tahu
,Cinta Anak Juragan Teh,2015,R,60 Menit,Drama,https://www.visionplus.id/movies/34066/cinta-anak-juragan-teh
,Badut Cantik Taman Mini,2018,R,60 Menit,Drama,https://www.visionplus.id/movies/34048/badut-cantik-taman-mini
,Manisnya Kolak Sampai Ke Hati,2018,R,60 Menit,Drama,https://www.visionplus.id/movies/33472/manisnya-kolak-sampai-ke-hati
,Me vs Dokter Salmon,2018,R,60 Menit,Drama,https://www.visionplus.id/movies/33517/me-vs-dokter-salmon
,Keblinger Mas Ganteng Di Anyer,2018,R,60 Menit,Drama,https://www.visionplus.id/movies/33320/keblinger-mas-ganteng-di-anyer
,Permaisuri vs Timun Suri,2018,R,60 Menit,Drama,https://www.visionplus.id/movies/33751/permaisuri-vs-timun-suri
,Seondal: The Man Who Sells the River,2016,R,120 Menit,Comedy,https://www.visionplus.id/movies/42062/seondal-the-man-who-sells-the-river
,The Shameless,2015,D,120 Menit,Drama,https://www.visionplus.id/movies/42080/the-shameless
,Deranged,2012,D,120 Menit,Drama,https://www.visionplus.id/movies/42010/deranged
,I Can Speak,2017,R,120 Menit,Comedy,https://www.visionplus.id/movies/41942/i-can-speak
,The Book of Fish,2021,R,120 Menit,Drama,https://www.visionplus.id/movies/41954/the-book-of-fish
,Wonderful Nightmare,2015,R,120 Menit,Comedy,https://www.visionplus.id/movies/41966/wonderful-nightmare
,Mother,2009,R,120 Menit,Drama,https://www.visionplus.id/movies/41961/mother
,The Last Princess,2016,R,120 Menit,Drama,https://www.visionplus.id/movies/42079/the-last-princess
,The Advocate: A Missing Body,2015,R,120 Menit,Comedy,https://www.visionplus.id/movies/41946/the-advocate-a-missing-body
,The Flu,2013,R,120 Menit,Action,https://www.visionplus.id/movies/41978/the-flu
